CONCAT,TIPO,ACOMODAÇÃO,CATEGORIA,CÓDIGO,PLANO, PL C/ DESC, VR. CORRIG,TIT/DEP, CORRIGIDO,,,,,,,,,,,,,,,
5252TITULAR,AMBUL+HOSP.C/PARTO,ENFERMARIA,NOSSO PLANO,5252,"106,14","  102,96 ","  130,24 ",TITULAR,"  194,71 ",,"264,3758",,,ATÉ 49 ANOS,"266,01","399,01","421,43","550,88","421,43",,,,,
9714TITULAR,AMBUL+HOSP.C/PARTO,APARTAMENTO,NOSSO PLANO,9714,"153,91","  149,29 ","  188,86 ",TITULAR,"  282,34 ",,,,,50 A 59 ANOS,"400,36","600,54","550,16","709,66","842,86",,,,,
5403TITULAR,AMBUL+HOSP.S/PARTO,ENFERMARIA,MIX,5403,"128,31","  124,46 ","  157,44 ",TITULAR,"  235,38 ",,,,,60 A 74 ANOS,"489,77","646,11","704,85","937,45","698,12",,,,,
5404TITULAR,AMBUL+HOSP.S/PARTO,APARTAMENTO,MIX,5404,"186,05","  180,47 ","  228,29 ",TITULAR,"  341,30 ",,,,,,,,,,"55,8496",,,,,
5123TITULAR,AMBUL+HOSP.C/PARTO,ENFERMARIA,MIX,5123,"137,99","  133,85 ","  169,32 ",TITULAR,"  253,13 ",,,,,TIPO DE PLANO,NOSSO PLANO,,MIX,,,,,,,
9717TITULAR,AMBUL+HOSP.C/PARTO,APARTAMENTO,MIX,9717,"200,1","  194,10 ","  245,53 ",TITULAR,"  367,07 ",,,,,,(REDE PRÓPRIA),,(REDE PRÓPRIA + CREDENCIADA),,,,,,,
5397TITULAR,AMBUL+HOSP.S/PARTO,ENFERMARIA,PLENO,5397,"197,4","  191,48 ","  242,22 ",TITULAR,"  362,12 ",,,,,ACOMODAÇÃO,ENFERMARIA,APARTAMENTO,ENFERMARIA,APARTAMENTO,,,,,,
5402TITULAR,AMBUL+HOSP.S/PARTO,APARTAMENTO,PLENO,5402,"286,21","  277,62 ","  351,19 ",TITULAR,"  525,04 ",,,,,,"251,02",,,,,,,,,
5127TITULAR,AMBUL+HOSP.C/PARTO,ENFERMARIA,PLENO,5127,"212,29","  205,92 ","  260,49 ",TITULAR,"  389,43 ",,,,,ATÉ 49 ANOS,"267,50","401,25","423,80","553,97",,,,,,
5283TITULAR,AMBUL+HOSP.C/PARTO,APARTAMENTO,PLENO,5283,"307,82","  298,59 ","  377,71 ",TITULAR,"  564,68 ",,,,,50 A 64 ANOS,"402,61","603,91","553,25","713,64",,,,,,
5254DEPENDENTE,AMBUL+HOSP.S/PARTO,ENFERMARIA,NOSSO PLANO,5254,"144,09","  139,77 ","  176,81 ",DEPENDENTE,"  264,32 ",,,,,65 A 74 ANOS,"492,52","649,74","708,80","942,71",,,,,,
5285DEPENDENTE,AMBUL+HOSP.S/PARTO,APARTAMENTO,NOSSO PLANO,5285,"208,93","  202,66 ","  256,37 ",DEPENDENTE,"  383,27 ",,,,,75 A 85 ANOS,"616,20","773,41","832,47","1.066,38",,,,,,
5252DEPENDENTE,AMBUL+HOSP.C/PARTO,ENFERMARIA,NOSSO PLANO,5252,"154,95","  150,30 ","  190,13 ",DEPENDENTE,"  284,25 ",,,,,DEPENDENTE,"267,50","430,32","357,31","530,64",,,,,,
9714DEPENDENTE,AMBUL+HOSP.C/PARTO,APARTAMENTO,NOSSO PLANO,9714,"224,7","  217,96 ","  275,72 ",DEPENDENTE,"  412,20 ",,,,,,,,,,"753,9696",,,,,
5403DEPENDENTE,AMBUL+HOSP.S/PARTO,ENFERMARIA,MIX,5403,"187,29","  181,67 ","  229,81 ",DEPENDENTE,"  343,57 ",,,,,TIPO DE PLANO,NOSSO PLANO,,MIX,,,,,,,
5404DEPENDENTE,AMBUL+HOSP.S/PARTO,APARTAMENTO,MIX,5404,"271,73","  263,58 ","  333,43 ",DEPENDENTE,"  498,47 ",,,,,,(REDE PRÓPRIA),,(REDE PRÓPRIA + CREDENCIADA),,"-332,54",18,"255,41",260,,
5123DEPENDENTE,AMBUL+HOSP.C/PARTO,ENFERMARIA,MIX,5123,"201,44","  195,40 ","  247,18 ",DEPENDENTE,"  369,53 ",,,,,ACOMODAÇÃO,ENFERMARIA,APARTAMENTO,ENFERMARIA,APARTAMENTO,,29,280,"302,4",,
9717DEPENDENTE,AMBUL+HOSP.C/PARTO,APARTAMENTO,MIX,9717,"292,11","  283,35 ","  358,43 ",DEPENDENTE,"  535,86 ",,,,,ATÉ 29 ANOS,"268,75","403,12","425,77","556,55",,39,316,368,"341,28","397,44"
5397DEPENDENTE,AMBUL+HOSP.S/PARTO,ENFERMARIA,PLENO,5397,"288,17","  279,52 ","  353,60 ",DEPENDENTE,"  528,63 ",,,,,30 A 39 ANOS,"341,29","477,81","417,31","544,32",,49,341,403,"368,28","435,24"
5402DEPENDENTE,AMBUL+HOSP.S/PARTO,APARTAMENTO,PLENO,5402,"417,86","  405,32 ","  512,74 ",DEPENDENTE,"  766,54 ",,,,,40 A 49 ANOS,"385,28","539,39","470,98","614,32",,59,500,540,,
5127DEPENDENTE,AMBUL+HOSP.C/PARTO,ENFERMARIA,PLENO,5127,"309,92","  300,62 ","  380,29 ",DEPENDENTE,"  568,53 ",,,,,50 A 59 ANOS,"404,48","606,72","555,82","716,96",,60,"494,81",,,
5283DEPENDENTE,AMBUL+HOSP.C/PARTO,APARTAMENTO,PLENO,5283,"449,4","  435,92 ","  551,44 ",DEPENDENTE,"  824,40 ",,,,,60 A MAIS,"494,81","652,76","712,10","947,10",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
